problemTitle,language,code
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        \n        int dp[] = new int[n+1];\n        dp[0]=1;\n        dp[1]=1;\n        for(int i=2 ;i<=n ; i++)\n        {\n            dp[i] = dp[i-1] + dp[i-2];\n        }\n        return dp[n];\n    }\n}
Climbing Stairs,java,class Solution {\n    public Object solution(Object input) {\n        // TODO: Implement solution\n        return null;\n    }\n}
Climbing Stairs,java,https://leetcode.com/problems/climbing-stairs/submissions/1907465983/
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        if(n==1)return 1;\n        if(n==2)return 2;\n        long first = 1;\n        long next = 2;\n        long val =0;\n        for(int i=3;i<=n;i++)\n        {\n            val = first+next;\n            first = next;\n            next = val;\n        }\n        return (int)val;\n    }\n}
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        int arr[]= new int[n+1];\n        arr[0]=0;\n        arr[1]=1;\n        if(n==1)\n        {\n            return arr[1];\n        }\n        arr[2]=2;\n        for(int i=3;i<=n;i++)\n        {\n            arr[i]=arr[i-1]+arr[i-2];\n        }\n        return arr[n];\n\n    }\n}
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        Map<Integer, Integer> memo = new HashMap<>();\n        return climbStairs(n, memo);\n    }\n    \n    private int climbStairs(int n, Map<Integer, Integer> memo) {\n        if (n == 0 || n == 1) {\n            return 1;\n        }\n        if (!memo.containsKey(n)) {\n            memo.put(n, climbStairs(n-1, memo) + climbStairs(n-2, memo));\n        }\n        return memo.get(n);\n    }\n}"
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        Map<Integer, Integer> memo = new HashMap<>();\n        return climbStairs(n, memo);\n    }\n    \n    private int climbStairs(int n, Map<Integer, Integer> memo) {\n        if (n == 0 || n == 1) {\n            return 1;\n        }\n        if (!memo.containsKey(n)) {\n            memo.put(n, climbStairs(n-1, memo) + climbStairs(n-2, memo));\n        }\n        return memo.get(n);\n    }\n}"
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if (n <= 2) return n;\n        int a = 1, b = 2;\n        for (int i = 3; i <= n; i++) {\n            int c = a + b;\n            a = b;\n            b = c;\n        }\n        return b;\n    }\n}"
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if (n<=2) return n;\n        int a=1,b=2;\n        for (int i=3;i<=n;i++) {\n            int c=a+b;\n            a=b;\n            b=c;\n        }\n        return b;\n    }\n}"
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if (n<=2) return n;\n        int a=1,b=2;\n        for (int i=3;i<=n;i++) {\n            int c=a+b;\n            a=b;\n            b=c;\n        }\n        return b;\n    }\n}"
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n<=2) return n;\n        int a=1,b=1;\n        for(int i=1;i<n;i++){\n            int temp=a;\n            a=b;\n            b=temp+b;\n        }\n        return b;    }\n}"
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) \n    {\n       int[] dp=new int[n+1];\n       dp[0]=1;\n       dp[1]=1;\n       for(int i=2;i<=n;i++)\n       {\n          dp[i]=dp[i-1]+dp[i-2];\n       }\n       return dp[n];\n    }\n}
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        if(n==0)\n        {\n            return 0;\n        }\n        List<Integer>alist=new ArrayList<>();\n        int first=0;\n        int second=1;\n        for(int i=1;i<=n;i++)\n        {\n           int sum=first+second;\n           alist.add(sum);\n           first=second;\n           second=alist.get(alist.size()-1);\n        }\n        return alist.get(n-1);\n    }\n}
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) \n    {\n       int[] dp=new int[n+1];\n       dp[0]=1;\n       dp[1]=1;\n       for(int i=2;i<=n;i++)\n       {\n          dp[i]=dp[i-1]+dp[i-2];\n       }\n       return dp[n];\n    }\n}
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) \n    {\n       int[] dp=new int[n+1];\n       dp[0]=1;\n       dp[1]=1;\n       for(int i=2;i<=n;i++)\n       {\n          dp[i]=dp[i-1]+dp[i-2];\n       }\n       return dp[n];\n    }\n}
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) \n    {\n       int[] dp=new int[n+1];\n       dp[0]=1;\n       dp[1]=1;\n       for(int i=2;i<=n;i++)\n       {\n          dp[i]=dp[i-1]+dp[i-2];\n       }\n       return dp[n];\n    }\n}
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n==0 ||n==1 || n==2){\n            return n;\n        }\n        int a=1,b=2;\n        for(int i=3;i<=n;i++){\n            int c=a+b;\n            a=b;\n            b=c;\n        }\n        return b;\n        \n    }\n    }"
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        int a =0;\n        int b=1;\n        int c=0;\n        for(int i=0;i<n;i++){\n            c = a+b;\n            a=b;\n            b=c;\n        }\n        return c;\n    }\n    \n}
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        int a =0;\n        int b=1;\n        int c=0;\n        for(int i=0;i<n;i++){\n            c = a+b;\n            a=b;\n            b=c;\n        }\n        return c;\n    }\n    \n}
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        int a =0;\n        int b=1;\n        int c=0;\n        for(int i=0;i<n;i++){\n            c = a+b;\n            a=b;\n            b=c;\n        }\n        return c;\n    }\n    \n}
Climbing Stairs,java,class Solution {\n    public Object solution(Object input) {\n         int first =2 ;\n        int second = 1;\n        int i=2;\n        if(n==1 || n==2)\n        return n;\n        while(i<n){\n            int temp = first;\n            first+=second;\n            second = temp;\n            i++;\n            \n        }\nreturn first;    }\n}
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        if (n == 1) return 1;\n        if (n == 2) return 2;\n        int a = 1; \n        int b = 2;\n        int c = 0;\n        for (int i = 3; i <= n; i++) {\n            c=a+b;\n            a=b;\n            b=c;\n        }\n        return c; \n    }\n}
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        int dp[]=new int[n+1];\n        dp[0]=1;\n        dp[1]=1;\n        for(int i=2;i<=n;i++)\n        {\n            dp[i]=dp[i-2]+dp[i-1];\n        }\n        return dp[n];\n    }\n}
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n<=2) return n;\n        int a=1,b=2;\n        for(int i=3;i<=n;i++){\n            int c=a+b;\n            a=b;\n            b=c;\n        }\n        return b;\n    }\n}"
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n<=2) return n;\n        int i=1, j=2;\n        for(int a=3; a<=n; a++){\n            int k=i+j;\n            i=j;\n            j=k;\n        }\n        return j;\n    }\n}"
Climbing Stairs,java,"class Solution {\n    public Object solution(Object input) {\n        // TODO: Implement solution\nif(n==0||n==1) return 1;\n        if(n==2) return 2;\n        int a=1,b=2;\n  \n        for(int i=3;i<=n;i++){\n                int c =a+b;\n                a=b;\n                b=c;\n            }\n        return b;\n\n        \n    }\n}"
Climbing Stairs,java,"class Solution {\n    public Object solution(Object input) {\n        // TODO: Implement solution\nif(n==0||n==1) return 1;\n        if(n==2) return 2;\n        int a=1,b=2;\n  \n        for(int i=3;i<=n;i++){\n                int c =a+b;\n                a=b;\n                b=c;\n            }\n        return b;\n\n        \n    }\n}"
Climbing Stairs,java,class Solution {\n    public Object solution(int n) {\n        if (n == 1) return 1;\n        if (n == 2) return 2;\n        int a = 1; \n        int b = 2;\n        int c = 0;\n        for (int i = 3; i <= n; i++) {\n            c=a+b;\n            a=b;\n            b=c;\n        }\n        return c; \n    }\n}
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n<=3) return n;\n        int a=2,b=1;\n\n        for(int i=3;i<=n;i++)\n        {\n            int curr=a+b;\n            b=a;\n            a=curr;\n        }\n        return a;\n    }\n}"
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        int a=0, b=1;\n        int c=1;\n        for(int step=1; step<=n; step++)\n        {\n            c=a+b;\n            a=b;\n            b=c;\n        }\n        return c; \n    }\n}"
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        int[] arr=new int[n+1];\n        arr[0]=1;\n        arr[1]=1;\n        for(int i=2;i<n+1;i++){\n            arr[i]=arr[i-1]+arr[i-2];\n        }\n        return arr[n];\n    }\n}
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n<=3) return n;\n        int prev1=2, prev2=3, curr=0;\n        for(int i=3;i<n;i++){\n            curr=prev1+prev2;\n            prev1=prev2;\n            prev2=curr;\n        }\n        return curr;\n    }\n}"
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        int[] dp = new int[45];\n        dp[0] = 1;dp[1] = 2;\n        for(int i=2;i<n;i++){\n            dp[i] = dp[i-1]+dp[i-2];\n        }\n        return dp[n-1];\n    }\n}
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        int[] dp = new int[45];\n        dp[0] = 1;dp[1] = 2;\n        for(int i=2;i<n;i++){\n            dp[i] = dp[i-1]+dp[i-2];\n        }\n        return dp[n-1];\n    }\n}
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        int sum = 0;\n        if(n == 1) return 1;\n        int[] dp = new int[n+1];\n        dp[0] = 1;\n        dp[1] = 1;\n        for(int i = 2;i <= n;i++){\n            dp[i] = dp[i - 1] + dp[i - 2];\n        }\n        \n        return dp[n];\n        \n    }\n}
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        if(n<=1) return 1;\n        int[] dp=new int[n+1];\n        dp[0]=1;\n        dp[1]=1;\n        for(int i=2;i<n+1;i++){\n            dp[i]=dp[i-1]+dp[i-2];\n        }\n        return dp[n];\n    }\n}
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n<=2) return n;\n        int a=1,b=1;\n        for(int i=1;i<n;i++){\n            int temp=a;\n            a=b;\n            b=temp+b;\n        }\n        return b;  \n          }\n}"
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n == 1) return 1;\n        if(n == 2) return 2;\n        int a = 1,b = 2,c = 0;\n        for(int i = 3;i <= n; i++){\n            c = a + b;\n            a = b;\n            b = c;\n        }\n        return c;\n    }\n}"
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        if(n<=2) return n;\n\n        int a=1;\n        int b=2;\n        for(int i=3;i<=n;i++)\n        {\n            int c=a+b;\n            a=b;\n            b=c;\n        }\n        return b;\n    }\n}
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n==1){\n            return 1;\n        }\n        if(n==2){\n            return 2;\n        }\n      int a=1,b=2,c=0;\n      for(int i=3;i<=n;i++){\n        c=a+b;\n        a=b;\n        b=c;\n      }\n      return c;  \n    }\n}"
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        Map<Integer,Integer> m=new HashMap<>();\n        return climbing(n,m);\n    }\n    public int climbing(int n,Map<Integer,Integer> m){\n        if(n==0||n==1){\n            return 1;\n        }\n        if(!m.containsKey(n)){\n            m.put(n,climbing(n-1,m)+climbing(n-2,m));\n        }\n        return  m.get(n);\n    }\n}"
Climbing Stairs,java,"class Solution {\n    public Object solution(Object input) {\n        int n=input;\n        Map<Integer,Integer>m=new HashMap<>();\n        m.put(0,1);\n        m.put(1,1);\n        for(int i=2;i<=n;i++)\n        {\n            m.put(i,m.get(i-1)+m.get(i-2));\n        }\n        return m.get(n);\n    }\n}"
Climbing Stairs,java,"class Solution {\n    public Object solution(Object input) {\n        int n=input;\n        Map<Integer,Integer>m=new HashMap<>();\n        m.put(0,1);\n        m.put(1,1);\n        for(int i=2;i<=n;i++)\n        {\n            m.put(i,m.get(i-1)+m.get(i-2));\n        }\n        return m.get(n);\n    }\n}"
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        int[] arr = new int[n+1];\n        arr[0]=1;\n        arr[1]=1;\n        for(int i = 2; i <= n; i++){\n            arr[i] = arr[i-1] + arr[i-2];\n        }\n        return arr[n];\n    }\n}
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n<=3)return n;\n        int p1=3,p2=2,cur=0;\n        for(int i=3;i<n;i++){\n            cur=p1+p2;\n            p2=p1;\n            p1=cur;\n        }\n        return cur;\n    }\n}\n"
